GrLivArea,LotArea,TotalBsmtSF,BsmtUnfSF,GarageArea,YearBuilt,LotFrontage,YearRemodAdd,BsmtFinSF1,OpenPorchSF
896,11622,882.0,270.0,730.0,1961,80.0,1961,468.0,0
1329,14267,1329.0,406.0,312.0,1958,81.0,1958,923.0,36
1629,13830,928.0,137.0,482.0,1997,74.0,1998,791.0,34
1604,9978,926.0,324.0,470.0,1998,78.0,1998,602.0,36
1280,5005,1280.0,1017.0,506.0,1992,43.0,1992,263.0,82
1655,10000,763.0,763.0,440.0,1993,75.0,1994,0.0,84
1187,7980,1168.0,233.0,420.0,1992,70.04995836802664,2007,935.0,21
1465,8402,789.0,789.0,393.0,1998,63.0,1998,0.0,75
1341,10176,1300.0,663.0,506.0,1990,85.0,1990,637.0,0
882,8400,882.0,0.0,525.0,1970,70.0,1970,804.0,0
1337,5858,1405.0,354.0,511.0,1999,26.0,1999,1051.0,68
987,1680,483.0,327.0,264.0,1971,21.0,1971,156.0,0
1092,1680,525.0,225.0,320.0,1971,21.0,1971,300.0,0
1456,2280,855.0,341.0,440.0,1975,24.0,1975,514.0,0
836,2280,836.0,836.0,308.0,1975,24.0,1975,0.0,30
2334,12858,1590.0,1590.0,751.0,2009,102.0,2010,0.0,133
1544,12883,1544.0,1544.0,868.0,2009,94.0,2010,0.0,35
1698,11520,1698.0,1588.0,730.0,2005,90.0,2005,110.0,74
1822,14122,1822.0,1794.0,678.0,2005,79.0,2006,28.0,119
2696,14300,2846.0,1473.0,958.0,2003,110.0,2004,1373.0,150
2250,13650,1671.0,1093.0,756.0,2002,105.0,2002,578.0,130
1370,7132,1370.0,1346.0,484.0,2006,41.0,2006,24.0,49
1324,18494,1324.0,1324.0,430.0,2005,100.0,2005,0.0,23
1145,3203,1145.0,1129.0,437.0,2006,43.0,2006,16.0,116
1374,13300,384.0,58.0,400.0,2004,67.0,2004,326.0,0
1733,8577,847.0,847.0,433.0,2004,63.0,2004,0.0,48
2475,17433,1629.0,1629.0,962.0,1998,60.0,1998,0.0,172
1595,8987,1595.0,1595.0,880.0,2005,73.0,2006,0.0,0
1218,9215,1218.0,1218.0,676.0,2009,92.0,2010,0.0,136
1468,10440,1468.0,54.0,528.0,2005,84.0,2005,1414.0,102
1659,11920,831.0,831.0,484.0,2004,70.0,2004,0.0,68
1012,9800,816.0,816.0,429.0,1920,70.0,1950,0.0,0
1494,15410,1208.0,223.0,461.0,1974,39.0,2002,126.0,0
2349,13143,1231.0,0.0,762.0,1993,85.0,1993,250.0,130
2225,11134,1390.0,261.0,713.0,1992,88.0,1993,1129.0,30
1488,4835,1488.0,190.0,506.0,2004,25.0,2005,1298.0,50
1680,3515,840.0,840.0,588.0,2004,39.0,2004,0.0,111
1200,3215,600.0,320.0,480.0,2004,30.0,2004,280.0,172
1200,2544,600.0,190.0,480.0,2004,24.0,2005,368.0,172
1236,2544,600.0,224.0,480.0,2005,24.0,2005,376.0,166
1512,2980,756.0,290.0,440.0,2000,70.04995836802664,2000,466.0,32
1080,2403,530.0,286.0,496.0,2003,70.04995836802664,2003,244.0,50
1418,12853,1642.0,610.0,852.0,2010,57.0,2010,1032.0,192
1848,7379,975.0,491.0,592.0,2000,68.0,2000,484.0,184
1492,8000,1492.0,659.0,596.0,2002,80.0,2002,833.0,137
1829,10456,1829.0,1323.0,535.0,1967,70.04995836802664,1967,506.0,76
2495,10791,1280.0,143.0,660.0,1993,80.0,1993,1137.0,32
1891,18837,1224.0,491.0,678.0,1978,70.04995836802664,1978,687.0,69
1645,9600,715.0,386.0,441.0,1971,80.0,1971,329.0,78
1232,9600,1232.0,534.0,490.0,1966,80.0,1966,698.0,224
1209,9900,1209.0,150.0,504.0,1966,90.0,1966,1059.0,0
1510,9680,1510.0,500.0,517.0,1967,88.0,1967,1010.0,40
1775,10600,533.0,533.0,480.0,1964,70.04995836802664,1964,0.0,172
1728,13260,1728.0,228.0,0.0,1962,98.0,2001,1500.0,0
2461,9724,1140.0,470.0,400.0,1952,68.0,2002,670.0,0
1556,17360,782.0,482.0,470.0,1949,120.0,1950,300.0,0
1128,11380,1080.0,136.0,315.0,1966,75.0,2008,944.0,0
1604,8267,1604.0,1604.0,576.0,1958,70.0,1958,0.0,0
1480,8197,1480.0,292.0,620.0,2003,70.0,2009,1188.0,73
1143,8050,1143.0,125.0,308.0,1959,70.04995836802664,1959,856.0,0
1206,10725,1206.0,270.0,312.0,1959,87.0,1959,936.0,21
1580,10032,1244.0,510.0,440.0,1959,80.0,1959,734.0,28
1337,8382,832.0,832.0,263.0,1956,60.0,1956,0.0,0
1064,10950,864.0,525.0,318.0,1952,60.0,1952,339.0,0
972,10895,972.0,324.0,305.0,1955,119.0,1955,648.0,0
988,13587,988.0,456.0,264.0,1958,70.0,1958,532.0,0
985,7898,576.0,576.0,676.0,1920,65.0,1994,0.0,0
1224,8064,816.0,161.0,280.0,1948,60.0,2004,481.0,0
1175,7635,1175.0,237.0,484.0,1960,81.0,1960,588.0,0
1395,9760,1395.0,415.0,440.0,1963,80.0,1984,717.0,0
1844,4800,709.0,661.0,240.0,1900,60.0,1954,48.0,0
936,4485,936.0,357.0,0.0,1920,56.0,1950,579.0,0
1347,5805,1347.0,0.0,551.0,1957,69.0,1957,274.0,0
1251,6900,827.0,827.0,240.0,1938,50.0,2000,0.0,0
1633,11851,1027.0,247.0,240.0,1948,69.0,2009,780.0,100
1245,8239,1008.0,832.0,315.0,1920,70.04995836802664,1962,176.0,0
832,9656,678.0,678.0,780.0,1923,68.0,1970,0.0,0
