GrLivArea,LotArea,TotalBsmtSF,BsmtUnfSF,GarageArea,YearBuilt,LotFrontage,YearRemodAdd,BsmtFinSF1,OpenPorchSF,SalePrice
1710,8450,856,150,548,2003,65.0,2003,706,61,208500
1262,9600,1262,284,460,1976,80.0,1976,978,0,181500
1786,11250,920,434,608,2001,68.0,2002,486,42,223500
1717,9550,756,540,642,1915,60.0,1970,216,35,140000
2198,14260,1145,490,836,2000,84.0,2000,655,84,250000
1362,14115,796,64,480,1993,85.0,1995,732,30,143000
1694,10084,1686,317,636,2004,75.0,2005,1369,57,307000
2090,10382,1107,216,484,1973,70.04995836802665,1973,859,204,200000
1774,6120,952,952,468,1931,51.0,1950,0,0,129900
1077,7420,991,140,205,1939,50.0,1950,851,4,118000
1040,11200,1040,134,384,1965,70.0,1965,906,0,129500
2324,11924,1175,177,736,2005,85.0,2006,998,21,345000
912,12968,912,175,352,1962,70.04995836802665,1962,737,0,144000
1494,10652,1494,1494,840,2006,91.0,2007,0,33,279500
1253,10920,1253,520,352,1960,70.04995836802665,1960,733,213,157000
854,6120,832,832,576,1929,51.0,2001,0,112,132000
1004,11241,1004,426,480,1970,70.04995836802665,1970,578,0,149000
1296,10791,0,0,516,1967,72.0,1967,0,0,90000
1114,13695,1114,468,576,2004,66.0,2004,646,102,159000
1339,7560,1029,525,294,1958,70.0,1965,504,0,139000
2376,14215,1158,1158,853,2005,101.0,2006,0,154,325300
1108,7449,637,637,280,1930,57.0,1950,0,0,139400
1795,9742,1777,1777,534,2002,75.0,2002,0,159,230000
1060,4224,1040,200,572,1976,44.0,1976,840,110,129900
1060,8246,1060,204,270,1968,70.04995836802665,2001,188,90,154000
1600,14230,1566,1566,890,2007,110.0,2007,0,56,256300
900,7200,900,180,576,1951,60.0,2000,234,32,134800
1704,11478,1704,486,772,2007,98.0,2008,1218,50,306000
1600,16321,1484,207,319,1957,47.0,1997,1277,258,207500
520,6324,520,520,240,1927,60.0,1950,0,0,68500
1317,8500,649,649,250,1920,50.0,1950,0,54,40000
1228,8544,1228,1228,271,1966,70.04995836802665,2006,0,65,149350
1234,11049,1234,1234,484,2007,85.0,2007,0,30,179900
1700,10552,1398,380,447,1959,70.0,1959,1018,38,165500
1561,7313,1561,408,556,2005,60.0,2005,1153,47,277500
2452,13418,1117,1117,691,2004,108.0,2005,0,32,309000
1097,10859,1097,1097,672,1994,112.0,1995,0,64,145000
1297,8532,1297,84,498,1954,74.0,1990,1213,0,153000
1057,7922,1057,326,246,1953,68.0,2007,731,52,109000
1152,6040,0,0,0,1955,65.0,1955,0,0,82000
1324,8658,1088,445,440,1965,84.0,1965,643,138,160000
1328,16905,1350,383,308,1959,115.0,1959,967,104,170000
884,9180,840,0,504,1983,70.04995836802665,1983,747,0,144000
938,9200,938,167,308,1975,70.04995836802665,1980,280,0,130250
1150,7945,1150,465,300,1959,70.0,1959,179,0,141000
1752,7658,1752,1296,576,2005,61.0,2005,456,82,319900
2149,12822,1434,83,670,2003,48.0,2003,1351,43,239686
1656,11096,1656,1632,826,2006,84.0,2006,24,146,249700
1452,4456,736,736,0,1920,33.0,2008,0,0,113000
955,7742,955,192,386,1966,66.0,1966,763,0,127000
1470,13869,794,612,388,1997,70.04995836802665,1997,182,75,177000
1176,6240,816,816,528,1934,52.0,1950,0,0,114500
816,8472,816,0,516,1963,110.0,1963,104,0,110000
1842,50271,1842,32,894,1981,68.0,1987,1810,72,385000
1360,7134,384,0,572,1955,60.0,1955,384,50,130000
1425,10175,1425,935,576,1964,100.0,1964,490,0,180500
1739,2645,970,321,480,1999,24.0,2000,649,0,172500
1720,11645,860,860,565,2004,89.0,2004,0,70,196500
2945,13682,1410,1410,641,2006,66.0,2006,0,0,438780
780,7200,780,148,352,1972,60.0,1972,632,0,124900
1158,13072,1158,217,576,2004,63.0,2004,941,50,158000
1111,7200,530,530,288,1920,60.0,1996,0,0,101000
1370,6442,1370,1346,484,2006,44.0,2006,24,49,202500
1710,10300,576,576,480,1921,50.0,1950,0,11,140000
2034,9375,1057,318,645,1997,70.04995836802665,1998,739,36,219500
2473,9591,1143,1143,852,2004,76.0,2005,0,151,317000
2207,19900,1947,1035,576,1970,70.04995836802665,1989,912,0,180000
1479,10665,1453,440,558,2003,72.0,2003,1013,29,226000
747,4608,747,747,220,1945,47.0,1950,0,0,80000
2287,15593,1304,701,667,1953,81.0,1953,603,21,225000
2223,13651,2223,343,516,1973,95.0,1973,1880,0,244000
845,7599,845,280,360,1982,69.0,2006,565,0,129500
1718,10141,832,832,427,1998,74.0,1998,0,94,185000
1086,10200,1086,404,490,1954,85.0,2003,320,0,144900
1605,5790,840,840,379,1915,60.0,1950,0,0,107400
988,1596,462,0,297,1973,21.0,1973,462,101,91000
952,8475,952,724,283,1956,70.04995836802665,1956,228,0,135750
1285,8635,672,295,240,1948,50.0,2001,336,0,127000
1768,10778,1768,1768,0,1968,72.0,1968,0,0,136500
1230,10440,440,440,440,1910,60.0,1981,0,0,110000
2142,13000,896,448,509,1968,100.0,1968,448,72,193500
1337,4500,1237,36,405,1998,32.0,1998,1201,199,153500
1563,10206,1563,1530,758,2007,78.0,2007,33,99,245000
1065,8892,1065,1065,461,1960,80.0,1960,0,0,126500
1474,8530,384,384,400,1995,70.04995836802665,1996,0,72,168500
2417,16059,1288,1288,462,1991,121.0,1992,0,82,260000
1560,11911,684,684,400,2005,122.0,2005,0,38,174000
1224,3951,612,612,528,2009,40.0,2009,0,234,164500
1526,8470,1013,1013,0,1915,105.0,1982,0,0,85000
990,8070,990,402,0,1994,60.0,1995,588,0,123600
1040,7200,0,0,420,1950,60.0,1950,0,29,109900
1235,8500,1235,635,480,1961,85.0,1961,600,0,98600
964,13360,876,163,432,1921,80.0,2006,713,0,163500
2291,7200,1214,168,506,1910,60.0,1998,1046,0,133900
1786,9337,824,176,684,1997,69.0,1997,648,162,204750
1470,9765,680,370,420,1993,70.04995836802665,1993,310,63,185000
1588,10264,1588,426,472,1999,78.0,1999,1162,29,214000
960,10921,960,440,432,1965,73.0,1965,520,0,94750
835,10625,458,350,366,1920,85.0,1950,108,0,83000
1225,9320,950,381,0,1959,77.0,1959,569,0,128950
